City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,chonchi,-42.6128,-73.8092,12.56,93,75,1.91,1707451367
1,wailua homesteads,22.0669,-159.378,25.24,72,100,4.63,1707451478
2,uturoa,-16.7333,-151.4333,27.81,82,99,6.4,1707451492
3,waitangi,-43.9535,-176.5597,16.57,60,18,8.62,1707451478
4,rongelap,11.1635,166.8941,26.51,84,100,9.48,1707451518
5,margaret river,-33.95,115.0667,28.17,46,0,3.3,1707451488
6,adamstown,-25.066,-130.1015,24.48,94,100,14.91,1707451477
7,vila franca do campo,37.7167,-25.4333,16.23,83,100,9.71,1707451527
8,hawaiian paradise park,19.5933,-154.9731,21.73,90,75,3.6,1707451483
9,sarangpur,23.5667,76.4667,18.11,24,59,3.15,1707451696
10,tyukhtet,56.5389,89.3011,-4.38,83,100,5.4,1707451841
11,ceerigaabo,10.6162,47.368,13.68,74,12,0.41,1707451841
12,longyearbyen,78.2186,15.6401,-12.09,79,20,6.17,1707451475
13,grytviken,-54.2811,-36.5092,5.07,95,95,7.13,1707451481
14,khandyga,62.6667,135.6,-35.7,93,74,0.22,1707451841
15,porto novo,6.4965,2.6036,27.9,88,8,1.29,1707451541
16,salahonda,2.1019,-78.7217,26.86,86,54,2.28,1707451842
17,ta`u,-14.2336,-169.5144,27.6,83,100,5.65,1707451530
18,finley,46.154,-119.0339,8.07,70,100,4.47,1707451842
19,stanley,54.868,-1.6985,2.09,93,100,8.23,1707451475
20,puerto natales,-51.7236,-72.4875,10.77,85,100,4.51,1707451287
21,tiksi,71.6872,128.8694,-24.93,100,100,1.61,1707451481
22,hamilton,39.1834,-84.5333,13.97,58,40,8.23,1707451454
23,albany,42.6001,-73.9662,5.33,62,97,0.45,1707451315
24,ushuaia,-54.8,-68.3,10.81,66,75,11.83,1707451493
25,mitsamiouli,-11.3847,43.2844,28.34,80,99,3.43,1707451843
26,hobyo,5.3505,48.5268,26.28,79,51,8.88,1707451742
27,papatowai,-46.5619,169.4708,14.14,60,100,1.3,1707451475
28,dudinka,69.4058,86.1778,-30.18,95,33,2.24,1707451499
29,mayskiy,47.6931,40.1025,0.92,99,100,1.2,1707451844
30,st. john's,47.5649,-52.7093,-0.68,96,100,8.05,1707451206
31,olonkinbyen,70.9221,-8.7187,-2.88,60,7,5.46,1707451477
32,bilibino,68.0546,166.4372,-26.71,99,100,0.81,1707451484
33,egilsstadir,65.2653,-14.3948,-10.05,79,75,1.03,1707451542
34,ribeira grande,38.5167,-28.7,15.43,82,100,0.89,1707451482
35,whitehorse,60.7161,-135.0538,-15.57,85,0,5.66,1707451494
36,conceicao da barra,-18.5933,-39.7322,23.46,88,100,1.65,1707451845
37,punta del este,-34.9667,-54.95,22.2,97,75,4.47,1707451846
38,gaurela,22.75,81.9,18.24,15,4,2.36,1707451846
39,lebu,-37.6167,-73.65,13.79,89,17,7.48,1707451360
40,noumea,-22.2763,166.4572,29.44,99,100,7.47,1707451529
41,benjamin constant,-4.3831,-70.0311,26.07,97,100,0.56,1707451846
42,gumdag,39.2061,54.5906,10.21,46,13,1.93,1707451499
43,puerto ayora,-0.7393,-90.3518,26.42,93,65,0.89,1707451489
44,codrington,-38.2667,141.9667,19.62,56,8,6.28,1707451478
45,weno,7.4515,151.8468,29.97,74,100,4.63,1707451500
46,gagarin,55.5529,34.9954,-15.52,98,99,1.59,1707451847
47,punta arenas,-53.15,-70.9167,12.06,71,75,6.69,1707451299
48,pacific grove,36.6177,-121.9166,10.79,83,45,1.79,1707451256
49,port alfred,-33.5906,26.891,18.99,91,4,2.88,1707451531
50,tsaratanana,-16.7833,47.65,25.2,86,90,0.83,1707451848
51,bethel,41.3712,-73.414,3.76,80,0,0.45,1707451481
52,antsohihy,-14.8796,47.9875,25.73,92,70,1.07,1707451848
53,port augusta,-32.5,137.7667,32.05,21,0,6.91,1707451499
54,langhirano,44.6127,10.2656,12.12,88,100,1.62,1707451848
55,kudahuvadhoo,2.6708,72.8944,27.8,71,89,6.31,1707451848
56,kone,-21.0595,164.8658,28.85,60,99,4.16,1707451725
57,bredasdorp,-34.5322,20.0403,17.18,81,21,3.0,1707451480
58,lorengau,-2.0226,147.2712,29.52,72,71,6.11,1707451529
59,badger,64.8,-147.5333,-14.24,80,20,0.0,1707451489
60,bure,10.7,37.0667,14.21,59,5,1.55,1707451637
61,georgetown,5.4112,100.3354,31.96,58,20,4.12,1707451480
62,papao,-17.75,-149.55,27.82,83,99,6.91,1707451542
63,wynyard,-41.0,145.7167,23.92,45,43,5.0,1707451850
64,klyuchi,52.2667,79.1667,1.64,98,100,11.5,1707451482
65,severo-yeniseyskiy,60.3725,93.0408,-7.46,93,100,2.68,1707451524
66,kingston,17.997,-76.7936,24.53,69,20,4.63,1707451229
67,makassar,-5.14,119.4221,32.03,66,20,3.6,1707451851
68,dryden,49.7833,-92.7503,2.16,100,100,1.03,1707451480
69,utrik,11.2278,169.8474,26.27,79,97,9.65,1707451498
70,sturgis,41.7992,-85.4192,12.07,64,100,5.66,1707451851
71,avarua,-21.2078,-159.775,28.03,74,75,7.72,1707451477
72,sola,-13.8833,167.55,27.78,86,98,15.61,1707451852
73,kyshtovka,56.555,76.6271,1.3,91,99,9.39,1707451522
74,haiku-pauwela,20.9219,-156.3051,22.92,79,40,5.14,1707451490
75,port macquarie,-31.4333,152.9167,26.61,65,99,5.89,1707451540
76,yellowknife,62.456,-114.3525,-15.4,89,100,2.57,1707451282
77,blackmans bay,-43.0167,147.3167,18.07,71,97,4.83,1707451400
78,horta,38.5333,-28.6333,15.01,82,100,0.89,1707451477
79,vilyuchinsk,52.9306,158.4028,-4.86,71,80,1.21,1707451512
80,bandarbeyla,9.4942,50.8122,25.51,80,37,7.68,1707451727
81,hluti,-27.2167,31.6167,19.71,90,99,0.77,1707451853
82,port-aux-francais,-49.35,70.2167,5.6,77,99,10.49,1707451474
83,amga,60.8953,131.9608,-31.21,95,100,0.37,1707451516
84,selfoss,63.9331,-20.9971,-11.64,81,44,4.65,1707451526
85,iqaluit,63.7506,-68.5145,-23.15,64,75,0.0,1707451482
86,edinburgh of the seven seas,-37.0676,-12.3116,18.83,82,59,8.3,1707451485
87,isangel,-19.55,169.2667,28.06,78,100,5.66,1707451854
88,yuzhno-kurilsk,44.0306,145.8556,-4.24,57,30,2.5,1707451753
89,invercargill,-46.4,168.35,15.57,65,99,4.02,1707451485
90,campbellton,48.0075,-66.6727,-3.3,97,99,0.77,1707451780
91,melfi,40.9965,15.6514,8.05,91,4,3.47,1707451855
92,tazovsky,67.4667,78.7,-20.01,99,100,4.88,1707451490
93,hermanus,-34.4187,19.2345,17.46,81,56,3.57,1707451479
94,nova sintra,14.8667,-24.7167,21.64,70,0,6.23,1707451522
95,ust'-kut,56.7938,105.7672,-6.76,89,100,1.38,1707451855
96,woodward,36.4337,-99.3904,9.57,52,0,3.09,1707451855
97,afaahiti,-17.75,-149.2833,26.93,82,97,7.79,1707451513
98,fort mcmurray,56.7268,-111.381,-4.23,86,100,1.03,1707451517
99,kapuskasing,49.4169,-82.4331,4.05,60,100,5.66,1707451511
100,bubaque,11.2833,-15.8333,26.12,76,100,3.58,1707451502
